TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-21 14:28:23,1771684103316,saloon-ops-api.vercel.app/favicon.ico,GET,,500,jvbtr-1771684102389-f0ac08ef3144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/favicon.ico,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,,,,,"Cannot find module '@salon-ops/shared'
Require stack:
- /var/task/apps/api/src/modules/auth/auth.controller.js
- /var/task/apps/api/src/modules/auth/auth.routes.js
- /var/task/apps/api/api/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,,,
2026-02-21 14:28:22,1771684102389,saloon-ops-api.vercel.app/favicon.ico,GET,,500,jvbtr-1771684102389-f0ac08ef3144,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index.ts,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,537,iad1,-1,2048,,prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,01KJ09M0K3SDGH37VKBR4QPPZT,,-1
2026-02-21 14:28:22,1771684102154,saloon-ops-api.vercel.app/,GET,,500,zr896-1771684101500-674dcfbd623d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,,,,,"Cannot find module '@salon-ops/shared'
Require stack:
- /var/task/apps/api/src/modules/auth/auth.controller.js
- /var/task/apps/api/src/modules/auth/auth.routes.js
- /var/task/apps/api/api/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,,,
2026-02-21 14:28:21,1771684101500,saloon-ops-api.vercel.app/,GET,,500,zr896-1771684101500-674dcfbd623d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index.ts,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,531,iad1,-1,2048,,prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,01KJ09KZF584E91ECAH5BTFS70,,-1
2026-02-21 14:23:43,1771683823725,saloon-ops-api.vercel.app/favicon.ico,GET,,500,7fbwm-1771683822905-3220ebcc5b65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/favicon.ico,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,,,,,"Cannot find module '@salon-ops/shared'
Require stack:
- /var/task/apps/api/src/modules/auth/auth.controller.js
- /var/task/apps/api/src/modules/auth/auth.routes.js
- /var/task/apps/api/api/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,,,
2026-02-21 14:23:42,1771683822905,saloon-ops-api.vercel.app/favicon.ico,GET,,500,7fbwm-1771683822905-3220ebcc5b65,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index.ts,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,487,iad1,-1,2048,,prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,01KJ09BFKQZ16RTY7BT4691WPB,,-1
2026-02-21 14:23:42,1771683822677,saloon-ops-api.vercel.app/,GET,,500,2ljcj-1771683821616-ff848a7e3299,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,,,,,"Cannot find module '@salon-ops/shared'
Require stack:
- /var/task/apps/api/src/modules/auth/auth.controller.js
- /var/task/apps/api/src/modules/auth/auth.routes.js
- /var/task/apps/api/api/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,,,
2026-02-21 14:23:41,1771683821616,saloon-ops-api.vercel.app/,GET,,500,2ljcj-1771683821616-ff848a7e3299,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index.ts,saloon-ops-api.vercel.app,saloon-ops-api.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,471,iad1,-1,2048,,prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,01KJ09BEKGNSHE44TTTHBMRCKS,,-1
2026-02-21 14:23:08,1771683788289,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app/favicon.png,GET,,500,dxbqk-1771683787669-59cdf4fac350,vercel-favicon/1.0,error,production,main,MISS,function,/favicon.png,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,,,,,"Cannot find module '@salon-ops/shared'
Require stack:
- /var/task/apps/api/src/modules/auth/auth.controller.js
- /var/task/apps/api/src/modules/auth/auth.routes.js
- /var/task/apps/api/api/index.js
Did you forget to add it to ""dependencies"" in `package.json`?
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,,,
2026-02-21 14:23:07,1771683787669,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app/favicon.png,GET,,500,dxbqk-1771683787669-59cdf4fac350,vercel-favicon/1.0,,production,main,MISS,function,/api/index.ts,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app,saloon-ops-dkk11i9ow-shreyanshs-projects-57730faf.vercel.app,dpl_4zb6DX5TxrUc7v8UidWXcH4sqRC6,562,iad1,-1,2048,,prj_DHjPYf4D0VsQ84oeWDNTIVVXKug6,,,01KJ09ACY3WAGRGVY9R1WW7H1C,,-1
